CustomerID,total_spend,num_orders,avg_order_value
12346.0,77183.6,1,77183.6
12347.0,4310.0,7,23.681318681318682
12348.0,1797.24,4,57.97548387096774
12349.0,1757.55,1,24.076027397260273
12350.0,334.4,1,19.670588235294115
12352.0,2506.04,8,29.482823529411764
12353.0,89.0,1,22.25
12354.0,1079.4,1,18.610344827586207
12355.0,459.4,1,35.33846153846154
12356.0,2811.43,3,47.65135593220339
12357.0,6207.67,1,47.38679389312977
12358.0,1168.06,2,61.47684210526315
12359.0,6310.03,4,25.755224489795918
12360.0,2662.06,3,20.63612403100775
12361.0,189.9,1,18.990000000000002
12362.0,5226.23,10,19.647481203007516
12363.0,552.0,2,24.0
12364.0,1313.1,4,15.448235294117646
12365.0,641.38,2,29.153636363636362
12367.0,168.9,1,15.354545454545455
12370.0,3541.94,4,21.33698795180723
12371.0,1887.96,2,29.96761904761905
12372.0,1298.04,3,24.962307692307693
12373.0,364.6,1,26.042857142857144
12374.0,742.9300000000001,1,22.513030303030305
12375.0,457.5,2,26.91176470588235
12377.0,1628.12,2,21.144415584415583
12378.0,4008.62,1,18.30420091324201
12379.0,852.24,2,21.306
12380.0,2724.81,4,26.200096153846154
12381.0,1845.31,5,21.21045977011494
12383.0,1850.56,5,18.69252525252525
12384.0,585.27,2,21.676666666666666
12386.0,401.9,2,40.19
12388.0,2780.66,6,27.8066
12390.0,549.84,1,17.1825
12391.0,439.66,1,4.72752688172043
12393.0,1582.6000000000001,4,24.728125000000002
12394.0,1272.48,2,47.12888888888889
12395.0,3018.63,12,19.350192307692307
12397.0,2409.9,2,19.126190476190477
12398.0,1635.6599999999999,1,19.24305882352941
12399.0,1108.65,4,18.790677966101697
12401.0,84.3,1,16.86
12402.0,225.6,1,20.509090909090908
12403.0,427.7,1,85.53999999999999
12405.0,1710.39,1,31.67388888888889
12406.0,3415.3,2,32.52666666666667
12407.0,1708.1200000000001,5,22.183376623376624
12408.0,2888.55,5,27.51
12409.0,11072.67,3,101.58412844036697
12410.0,693.3299999999999,2,26.666538461538458
12412.0,1226.88,3,20.112786885245903
12413.0,758.1,3,19.95
12414.0,562.41,3,31.244999999999997
12415.0,124914.53,21,174.95032212885152
12417.0,3649.1,9,19.005729166666665
12418.0,668.58,1,19.664117647058823
12420.0,600.39,1,20.70310344827586
12421.0,807.04,4,17.93422222222222
12422.0,803.5600000000001,3,20.604102564102565
12423.0,1859.31,8,14.87448
12424.0,1760.96,2,58.69866666666667
12425.0,777.2,1,21.58888888888889
12426.0,582.73,1,19.424333333333333
12427.0,825.8,3,26.638709677419353
12428.0,7956.46,9,27.062789115646257
12429.0,3750.4,4,38.66391752577319
12430.0,256.4,1,23.30909090909091
12431.0,6419.95,15,27.43568376068376
12432.0,5059.32,5,46.845555555555556
12433.0,13375.87,7,31.847309523809525
12434.0,806.14,2,16.122799999999998
12435.0,7829.89,2,217.49694444444447
12436.0,509.01,1,31.813125
12437.0,4951.41,18,24.88145728643216
12438.0,2906.85,2,29.66173469387755
12441.0,173.55,1,15.77727272727273
12442.0,172.06,1,14.338333333333333
12444.0,5005.46,5,28.440113636363638
12445.0,133.4,1,33.35
12446.0,1002.3100000000001,1,17.584385964912283
12447.0,476.49,1,18.326538461538462
12448.0,449.45,1,20.429545454545455
12449.0,4067.29,4,21.294712041884818
12450.0,197.88,2,24.735
12451.0,9035.52,5,25.524067796610172
12452.0,430.57,2,19.571363636363635
12453.0,707.09,1,16.443953488372095
12454.0,3528.34,1,235.22266666666667
12455.0,2466.86,6,27.409555555555556
12456.0,3181.04,3,25.44832
12457.0,2363.23,7,38.11661290322581
12458.0,947.4,2,24.931578947368422
