CustomerID,total_spend,num_orders,avg_order_value,cluster,segment,last_purchase_date,days_since,churned
12346.0,77183.6,1,77183.6,1,"High spend, low frequency",2011-01-18 10:01:00,325,1
12347.0,4310.0,7,23.68131868131868,0,Occasional low spender,2011-12-07 15:52:00,1,0
12348.0,1797.24,4,57.97548387096774,0,Occasional low spender,2011-09-25 13:13:00,74,0
12349.0,1757.55,1,24.07602739726028,0,Occasional low spender,2011-11-21 09:51:00,18,0
12350.0,334.4,1,19.670588235294115,0,Occasional low spender,2011-02-02 16:01:00,309,1
12352.0,2506.04,8,29.482823529411764,0,Occasional low spender,2011-11-03 14:37:00,35,0
12353.0,89.0,1,22.25,0,Occasional low spender,2011-05-19 17:47:00,203,1
12354.0,1079.4,1,18.610344827586207,0,Occasional low spender,2011-04-21 13:11:00,231,1
12355.0,459.4,1,35.33846153846154,0,Occasional low spender,2011-05-09 13:49:00,213,1
12356.0,2811.43,3,47.65135593220339,0,Occasional low spender,2011-11-17 08:40:00,22,0
12357.0,6207.67,1,47.38679389312977,0,Occasional low spender,2011-11-06 16:07:00,32,0
12358.0,1168.06,2,61.47684210526315,0,Occasional low spender,2011-12-08 10:26:00,1,0
12359.0,6310.03,4,25.75522448979592,0,Occasional low spender,2011-10-13 12:47:00,57,0
12360.0,2662.06,3,20.63612403100775,0,Occasional low spender,2011-10-18 15:22:00,51,0
12361.0,189.9,1,18.99,0,Occasional low spender,2011-02-25 13:51:00,286,1
12362.0,5226.23,10,19.64748120300752,0,Occasional low spender,2011-12-06 15:40:00,2,0
12363.0,552.0,2,24.0,0,Occasional low spender,2011-08-22 10:18:00,109,1
12364.0,1313.1,4,15.448235294117646,0,Occasional low spender,2011-12-02 10:22:00,7,0
12365.0,641.38,2,29.15363636363636,0,Occasional low spender,2011-02-21 14:04:00,290,1
12367.0,168.9,1,15.354545454545455,0,Occasional low spender,2011-12-05 16:48:00,3,0
12370.0,3541.94,4,21.33698795180723,0,Occasional low spender,2011-10-19 14:51:00,50,0
12371.0,1887.96,2,29.96761904761905,0,Occasional low spender,2011-10-26 10:16:00,44,0
12372.0,1298.04,3,24.962307692307693,0,Occasional low spender,2011-09-29 12:12:00,71,0
12373.0,364.6,1,26.042857142857144,0,Occasional low spender,2011-02-01 13:10:00,310,1
12374.0,742.9300000000001,1,22.513030303030305,0,Occasional low spender,2011-11-14 15:37:00,24,0
12375.0,457.5,2,26.91176470588235,0,Occasional low spender,2011-11-29 10:36:00,10,0
12377.0,1628.12,2,21.144415584415583,0,Occasional low spender,2011-01-28 15:45:00,314,1
12378.0,4008.62,1,18.30420091324201,0,Occasional low spender,2011-08-02 10:34:00,129,1
12379.0,852.24,2,21.306,0,Occasional low spender,2011-09-19 10:09:00,81,0
12380.0,2724.81,4,26.20009615384616,0,Occasional low spender,2011-11-18 11:27:00,21,0
12381.0,1845.31,5,21.21045977011494,0,Occasional low spender,2011-12-05 12:44:00,4,0
12383.0,1850.56,5,18.69252525252525,0,Occasional low spender,2011-06-08 08:02:00,184,1
12384.0,585.27,2,21.676666666666662,0,Occasional low spender,2011-11-11 08:39:00,28,0
12386.0,401.9,2,40.19,0,Occasional low spender,2011-01-06 12:37:00,337,1
12388.0,2780.66,6,27.8066,0,Occasional low spender,2011-11-24 12:30:00,15,0
12390.0,549.84,1,17.1825,0,Occasional low spender,2011-09-21 09:33:00,79,0
12391.0,439.66,1,4.72752688172043,0,Occasional low spender,2011-11-18 12:07:00,21,0
12393.0,1582.6,4,24.728125,0,Occasional low spender,2011-09-28 15:41:00,71,0
12394.0,1272.48,2,47.12888888888889,0,Occasional low spender,2011-10-07 08:08:00,63,0
12395.0,3018.63,12,19.350192307692307,0,Occasional low spender,2011-11-20 15:21:00,18,0
12397.0,2409.9,2,19.12619047619048,0,Occasional low spender,2011-11-04 09:52:00,35,0
12398.0,1635.66,1,19.24305882352941,0,Occasional low spender,2011-10-25 10:27:00,45,0
12399.0,1108.65,4,18.790677966101697,0,Occasional low spender,2011-08-12 13:15:00,118,1
12401.0,84.3,1,16.86,0,Occasional low spender,2011-02-09 13:50:00,302,1
12402.0,225.6,1,20.509090909090908,0,Occasional low spender,2011-01-20 13:49:00,322,1
12403.0,427.7,1,85.53999999999999,0,Occasional low spender,2011-10-21 10:51:00,49,0
12405.0,1710.39,1,31.67388888888889,0,Occasional low spender,2011-07-14 08:52:00,148,1
12406.0,3415.3,2,32.52666666666667,0,Occasional low spender,2011-11-17 19:22:00,21,0
12407.0,1708.12,5,22.183376623376624,0,Occasional low spender,2011-10-21 10:11:00,49,0
12408.0,2888.55,5,27.51,0,Occasional low spender,2011-11-07 12:27:00,32,0
12409.0,11072.67,3,101.58412844036695,0,Occasional low spender,2011-09-22 10:38:00,78,0
12410.0,693.3299999999999,2,26.66653846153845,0,Occasional low spender,2011-02-04 10:39:00,308,1
12412.0,1226.88,3,20.112786885245903,0,Occasional low spender,2011-09-26 10:16:00,74,0
12413.0,758.1,3,19.95,0,Occasional low spender,2011-10-04 09:00:00,66,0
12414.0,562.41,3,31.245,0,Occasional low spender,2011-05-06 14:51:00,216,1
12415.0,124914.53,21,174.95032212885152,2,High-value loyal,2011-11-15 14:22:00,23,0
12417.0,3649.1,9,19.005729166666665,0,Occasional low spender,2011-12-06 14:52:00,2,0
12418.0,668.58,1,19.664117647058823,0,Occasional low spender,2011-08-19 11:08:00,112,1
12420.0,600.39,1,20.70310344827586,0,Occasional low spender,2011-10-07 08:55:00,63,0
12421.0,807.04,4,17.93422222222222,0,Occasional low spender,2011-11-24 09:07:00,15,0
12422.0,803.5600000000001,3,20.604102564102565,0,Occasional low spender,2011-09-05 09:48:00,95,1
12423.0,1859.31,8,14.87448,0,Occasional low spender,2011-12-09 10:10:00,0,0
